LAD19CD,TacticalCell,LAD_int_Proportion of neighbourhoods in 20% most digitally excluded,LAD_int_Percentage of population who are ethnic minority,"LAD_int_Latest COVID-19 cases per 100,000",LAD_int_Fuel Poor Households,LAD_int_Homelessness (rate per 1000),LAD_int_Clinically extremely vulnerable,LAD_int_Unemployed receiving Universal Credit,LAD_int_People receiving Section 95 support,LAD_perc_Proportion of neighbourhoods in 20% most digitally excluded,LAD_perc_Percentage of population who are ethnic minority,"LAD_perc_Latest COVID-19 cases per 100,000",LAD_perc_Fuel Poor Households,LAD_perc_Homelessness (rate per 1000),LAD_perc_Clinically extremely vulnerable,LAD_perc_Unemployed receiving Universal Credit,LAD_perc_People receiving Section 95 support,tc_int_Proportion of neighbourhoods in 20% most digitally excluded,tc_int_Percentage of population who are ethnic minority,"tc_int_Latest COVID-19 cases per 100,000",tc_int_Fuel Poor Households,tc_int_Homelessness (rate per 1000),tc_int_Clinically extremely vulnerable,tc_int_Unemployed receiving Universal Credit,tc_int_People receiving Section 95 support,tc_perc_Proportion of neighbourhoods in 20% most digitally excluded,tc_perc_Percentage of population who are ethnic minority,"tc_perc_Latest COVID-19 cases per 100,000",tc_perc_Fuel Poor Households,tc_perc_Homelessness (rate per 1000),tc_perc_Clinically extremely vulnerable,tc_perc_Unemployed receiving Universal Credit,tc_perc_People receiving Section 95 support
E08000009,North,NA,NA,307.14,10327,1.622,9075,10418,89,0,17.3,NA,10.4,NA,3.8,4.4,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000010,North,NA,NA,403.15,15394,1.394,14280,19770,873,0.15,3.6,NA,10.8,NA,4.4,6.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000011,North,NA,NA,247.91,8194,1.653,9360,11952,157,0.4,2.8,NA,12.7,NA,6.3,8,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000012,North,NA,NA,255.6,33672,1.321,46320,38347,1483,0.3770491803278688,11.5,NA,15.6,NA,9.4,7.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000013,North,NA,NA,268.57,9009,1.324,12720,11400,181,0.043478260869565216,2,NA,11.3,NA,7.1,6.3,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000014,North,NA,NA,254.33,15481,0.692,22375,16895,180,0.10526315789473684,3.3,NA,12.5,NA,8.1,6.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000015,North,NA,NA,166.66,17986,0.56,15505,19297,217,0.09523809523809523,3.2,NA,12.2,NA,4.8,6,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000016,North,NA,NA,372.67,10266,0.163,12520,16444,396,0.43333333333333335,2.6,NA,9.7,NA,5.1,6.7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000017,North,NA,NA,336.02,12728,1.97,15545,21332,266,0.48717948717948717,5.7,NA,9.6,NA,5,6.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000018,North,NA,NA,354.92,10814,0.858,11460,16522,413,0.36363636363636365,5.7,NA,9.5,NA,4.3,6.2,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000019,North,NA,NA,266.22,25121,1.877,21870,28538,878,0.5142857142857142,16.5,NA,10.4,NA,3.8,4.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000021,North,NA,NA,435.24,12935,1.586,10625,23615,856,0.5172413793103449,17.3,NA,10.6,NA,3.5,7.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000022,North,NA,NA,418.44,7286,1.753,9680,11186,230,0.43333333333333335,4.7,NA,7.6,NA,4.7,5.4,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000023,North,NA,NA,406.02,6139,1.899,7070,11215,246,0.6956521739130435,3.9,NA,8.7,NA,4.7,7.5,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000024,North,NA,NA,393.94,11533,0.603,12195,19398,346,0.6944444444444444,3.3,NA,9.2,NA,4.4,7,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000025,Central,NA,NA,364.07,61560,8.25,35255,101660,1679,0.5,47.7,NA,14.2,NA,3.1,8.9,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000026,Central,NA,NA,270.24,16512,4.16,13705,20654,613,0.5952380952380952,31.5,NA,12.1,NA,3.7,5.6,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000027,Central,NA,NA,537.01,14565,0.492,12400,19966,250,0.813953488372093,9.1,NA,10.6,NA,3.9,6.2,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000028,Central,NA,NA,478,15377,4.257,12730,24661,927,0.9473684210526315,39,NA,12,NA,3.9,7.5,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000029,Central,NA,NA,301.33,7428,4.674,7090,10049,NA,0.4482758620689655,15,NA,8.2,NA,3.3,4.7,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000030,Central,NA,NA,386.37,13510,2.579,10470,20200,461,0.9487179487179487,22.1,NA,11.8,NA,3.7,7.1,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000031,Central,NA,NA,353.51,13733,3.97,8720,22310,828,0.7878787878787878,32.9,NA,12.7,NA,3.3,8.5,NA,NA,NA,NA,615752.5,NA,516055,698460,8802,0.3305084745762712,19.6,NA,11.1,NA,3.8,5.2,NA
E08000032,North,NA,NA,494.83,25934,1.97,25435,40810,1170,0.19672131147540983,36.1,NA,12.4,NA,4.7,7.6,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000033,North,NA,NA,472.91,9448,0.563,8395,13884,356,0.037037037037037035,9.7,NA,10.2,NA,4,6.6,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000034,North,NA,NA,538.67,19294,2.626,18105,25950,754,0.1016949152542373,20.7,NA,10.6,NA,4.1,5.9,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000035,North,NA,NA,413.42,34657,1.149,38375,42884,848,0.1308411214953271,15.3,NA,10.3,NA,4.9,5.4,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000036,North,NA,NA,451.61,12915,1.552,13515,17517,274,0.3333333333333333,6,NA,8.8,NA,3.9,5.1,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E08000037,North,NA,NA,386.53,8047,2.471,8780,13777,576,0.4074074074074074,6,NA,8.6,NA,4.3,6.8,NA,NA,NA,NA,716982,NA,696460,910658,20150,0.22722513089005236,12.6,NA,11,NA,4.6,6,NA
E09000002,London,NA,NA,240.01,9008,8.749,8140,18354,751,0,52.4,NA,12.3,NA,3.8,8.7,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000001,London,NA,NA,163.66,250,4.681,236,242,NA,0,NA,NA,5.5,NA,2.7,2.8,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000003,London,NA,NA,174.05,16766,3.456,12555,22679,137,0,35.3,NA,11.8,NA,3.2,5.8,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000004,London,NA,NA,271.86,8783,5.12,10375,11175,85,0.07142857142857142,20.2,NA,9,NA,4.2,4.5,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000005,London,NA,NA,205.6,15783,5.236,17160,25763,194,0,63.4,NA,13.7,NA,5.2,7.8,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000006,London,NA,NA,154.96,11746,5.016,12255,13648,41,0,22.4,NA,8.6,NA,3.7,4.1,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000007,London,NA,NA,133.32,12193,0.713,6885,12443,22,0,39.8,NA,11.9,NA,2.6,4.7,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000008,London,NA,NA,156.45,17108,6.159,13320,31697,264,0.06818181818181818,41.5,NA,11.2,NA,3.5,8.2,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
E09000009,London,NA,NA,252.48,16464,5.591,20440,25913,502,0,51.3,NA,12.6,NA,6,7.6,NA,NA,NA,NA,391924,NA,323660,586292,6632,0.006103763987792472,40.3,NA,11.4,NA,3.6,6.6,NA
